,ticker,price,cap,sharesBuy
197,GD,171.12,47518790751,
198,GE,12.0,105102348138,
199,GILD,68.07,84386694810,
200,GIS,57.4,35313541380,
201,GL,97.86,10308755780,
202,GLW,38.29,29439342047,
203,GM,55.7,80430890403,
204,GOOG,2109.78,1443107865948,
205,GOOGL,2170.87,1465654903434,
206,GPC,100.92,14563324068,
207,GPN,197.33,61359325709,
208,GPS,23.81,8818861074,
209,GRMN,133.1,26162825007,
210,GS,320.38,105732146092,
211,GWW,378.28,20736272729,
212,HAL,20.25,18687644940,
213,HAS,92.74,12793813396,
214,HBAN,14.89,14887678611,
215,HBI,19.17,6458760769,
216,HCA,181.7,61118063101,
217,HD,280.59,305851021455,
218,HES,62.0,19046567628,
219,HFC,32.22,5367334868,
220,HIG,50.08,18530138779,
221,HII,184.32,7316272385,
222,HLT,115.56,32154180893,
223,HOLX,83.86,21810438608,
224,HON,205.93,143228835220,
225,HPE,14.48,18904185761,
226,HPQ,27.51,36608868026,
227,HRB,20.2,3694256780,
228,HRL,48.39,26532871668,
229,HSIC,71.29,10124447638,
230,HST,15.0,10526262259,
231,HSY,154.21,31707308067,
232,HUM,390.56,52569380150,
233,HWM,28.66,12804146035,
234,IBM,125.8,108056358196,
235,ICE,116.12,62783518836,
236,IDXX,556.65,47261488292,
237,IEX,203.26,15736615098,
238,IFF,136.86,14586855701,
239,ILMN,525.22,76557970677,
240,INCY,87.787,19277462283,
241,INFO,96.17,40006440291,
242,INTC,64.51,256601307079,
243,INTU,424.61,114355372639,
244,IP,50.28,19730609808,
245,IPG,24.74,9652557426,
246,IPGP,256.2,13555345711,
247,IQV,201.25,37338105410,
248,IR,44.33,18919530636,
249,IRM,33.28,9824091762,
250,ISRG,824.85,99638953175,
251,IT,190.28,16478470426,
252,ITW,205.35,64985256403,
253,IVZ,22.89,10638034037,
254,J,116.6,15210423497,
255,JBHT,149.19,15886173211,
256,JCI,54.01,39185135514,
257,JKHY,152.85,11119811244,
258,JNJ,171.54,447448043328,
259,JNPR,26.51,8512510333,
260,JPM,142.15,441741775145,
261,K,59.61,19902298277,
262,KEY,19.7,19506403177,
263,KEYS,159.87,28722440938,
264,KHC,36.97,44162602630,
265,KIM,18.9,7985272241,
266,KLAC,346.27,53538741717,
267,KMB,135.65,46464864835,
268,KMI,15.02,34919954312,
269,KMX,125.5,20756868913,
270,KO,52.94,223723349684,
271,KR,34.24,26236698485,
272,KSS,51.54,7964256324,
273,KSU,215.67,19414239240,
274,L,48.88,13239040436,
275,LB,48.77,13522119123,
276,LDOS,112.2,15508948364,
277,LEG,43.18,5843012862,
278,LEN,95.86,28360958888,
279,LH,239.92,23480913917,
280,LHX,193.52,40490119684,
281,LIN,257.01,138455662817,
282,LKQ,37.74,11583308879,
283,LLY,216.84,205307302401,
284,LMT,345.96,97570349183,
285,LNC,54.81,10567943461,
286,LNT,48.83,12067293340,
287,LOW,180.41,131030224495,
288,LRCX,598.46,85464760422,
289,LUV,53.23,30785810973,
290,LVS,56.2,43277010435,
291,LW,77.59,11693680575,
292,LYB,99.79,32551886566,
293,LYV,86.12,18308451682,
294,MA,354.0,348894778438,
295,MAA,139.72,16162236350,
296,MAR,134.77,42484268608,
297,MAS,57.56,14530866542,
298,MCD,218.4,166838263637,
299,MCHP,160.17,43266745630,
300,MCK,188.36,30364667903,
301,MCO,287.24,54871994196,
302,MDLZ,55.28,78499841927,
303,MDT,122.4,162114470417,
304,MET,56.64,51292820120,
305,MGM,36.57,17868214193,
306,MHK,173.5,12214626882,
307,MKC,91.63,24481486619,
308,MKTX,564.25,21900233308,
309,MLM,336.1,21424056908,
310,MMC,113.1,58131912448,
311,MMM,180.0,107069093715,
312,MNST,94.42,49891278874,
313,MO,44.7,84261993779,
314,MOS,30.21,11445046112,
315,MPC,51.47,33463763335,
316,MRK,76.0,191243357522,
317,MRO,9.29,7335981368,
318,MS,75.23,135108653046,
319,MSCI,440.18,36976525661,
320,MSFT,247.09,1937036144290,
321,MSI,183.57,31262081570,
322,MTB,143.49,18516308709,
323,MTD,1231.55,29792980999,
324,MU,92.08,103026837290,
325,MXIM,99.13,27001217500,
326,MYL,16.229,8647988345,
327,NBL,8.56,4207551309,
328,NCLH,23.7,5294052498,
329,NDAQ,142.99,23998680186,
330,NEE,84.44,166589201923,
331,NEM,61.7,48071005722,
332,NFLX,568.71,248007836840,
333,NI,22.55,8634801801,
334,NKE,142.3,228759314056,
335,NLOK,22.07,12569603222,
336,NLSN,24.62,8563329943,
337,NOC,301.48,49763162791,
338,NOV,14.33,5564274211,
339,NOW,617.58,117981213375,
340,NRG,44.29,10710405315,
341,NSC,256.62,66673447565,
342,NTAP,71.31,15833263774,
343,NTRS,99.79,20921634970,
344,NUE,59.1,17697809128,
345,NVDA,613.8,383025308639,
346,NVR,4764.08,17721200612,
347,NWL,24.29,10592684612,
348,NWS,24.3,14540676831,
349,NWSA,24.78,14372955631,
350,O,63.16,23481966442,
351,ODFL,216.62,26065272489,
352,OKE,45.31,20184217412,
353,OMC,68.02,14471726974,
354,ORCL,65.55,186765684493,
355,ORLY,454.49,31469250113,
356,OTIS,64.99,28712676438,
357,OXY,26.27,24114517729,
358,PAYC,419.82,25138571128,
359,PAYX,93.4,32832948897,
360,PBCT,15.21,6593883481,
361,PCAR,98.0,34230045187,
362,PEAK,32.31,16833890418,
363,PEG,60.84,30604085639,
364,PEP,137.39,185392492678,
365,PFE,35.76,201940117053,
366,PFG,56.43,15222149178,
367,PG,132.98,325945144003,
368,PGR,88.81,51896070034,
369,PH,282.46,35740325427,
370,PHM,50.38,13513764505,
371,PKG,133.61,12822223049,
372,PKI,154.54,16975293029,
373,PLD,109.09,82068315802,
374,PM,87.05,140008601919,
375,PNC,163.8,68825341199,
376,PNR,54.02,9305417619,
377,PNW,76.34,8579395598,
378,PPG,140.26,33481344518,
379,PPL,28.52,22183772626,
380,PRGO,45.65,6189013160,
381,PRU,82.91,32811016973,
382,PSA,236.06,41131290000,
383,PSX,78.67,34902758513,
384,PVH,97.8,6996367509,
385,PWR,78.29,11188306416,
386,PXD,133.5,22278603720,
387,PYPL,309.75,360721033653,
388,QCOM,152.36,173780797910,
389,QRVO,183.0,20799423698,
390,RCL,68.9,15543650389,
391,RE,247.62,10144504704,
392,REG,53.93,9062658800,
393,REGN,499.76,52103247009,
394,RF,19.93,19502856981,
395,RHI,77.23,8539488244,
396,RJF,116.77,16471352217,
397,RL,111.8,8325071188,
398,RMD,202.46,29500714871,
399,ROK,249.92,29729385561,
400,ROL,38.94,18621485516,
401,ROP,414.26,41764223451,
402,ROST,121.72,43049151240,
403,RSG,91.33,29267482223,
404,RTX,75.62,111247044857,
405,SBAC,266.23,29596585516,
406,SBUX,107.5,130024782151,
407,SCHW,58.23,114334785195,
408,SEE,45.22,7146191047,
409,SHW,726.85,65521209781,
410,SIVB,516.2,26241050108,
411,SJM,118.5,13432514149,
412,SLB,27.76,37920162771,
413,SLG,65.05,4803061338,
414,SNA,193.83,10691563218,
415,SNPS,293.53,45359076971,
416,SO,60.7,66154742486,
417,SPG,112.62,37455766790,
418,SPGI,340.59,85171591017,
419,SRE,124.8,36912570411,
420,STE,185.0,15748223175,
421,STT,74.2,26833095988,
422,STX,75.18,17202309933,
423,STZ,252.9,47928067552,
424,SWK,178.84,29080668796,
425,SWKS,192.7,31545066529,
426,SYF,37.36,22170218353,
427,SYK,249.43,97099366208,
428,SYY,78.09,39447465486,
429,T,29.1,213366006669,
430,TAP,45.21,9175914363,
431,TDG,586.63,32683534077,
432,TDY,395.47,14500281991,
433,TEL,133.6,43350770342,
434,TFC,56.54,75136805866,
435,TFX,424.05,19730115256,
436,TGT,195.88,97390275103,
437,TIF,133.16,16222480393,
438,TJX,69.0,85301274740,
439,TMO,514.6,209201386917,
440,TMUS,127.71,157273846741,
441,TPR,39.8,10803836536,
442,TROW,166.85,38750918919,
443,TRV,150.55,36954087539,
444,TSCO,165.44,18959459997,
445,TSN,68.37,24076192535,
446,TT,155.53,36807794801,
447,TTWO,207.8,23720189212,
448,TWTR,74.2,57722528155,
449,TXN,186.37,169670724897,
450,TXT,51.32,11689299019,
451,TYL,485.89,20030763801,
452,UA,19.52,9290061187,
453,UAA,23.28,9422489033,
454,UAL,45.879,13088335132,
455,UDR,43.11,12743147101,
456,UHS,132.56,11024965362,
457,ULTA,325.14,18851327190,
458,UNH,336.12,311992665859,
459,UNM,24.74,5162405731,
460,UNP,219.0,142920638377,
461,UPS,167.4,141291387709,
462,URI,295.14,21532912952,
463,USB,48.66,73960853246,
464,V,216.09,484326441927,
465,VAR,182.85,16296061404,
466,VFC,81.7,31462904134,
467,VIAC,58.54,37246729870,
468,VLO,67.27,26523773405,
469,VMC,166.5,22720845604,
470,VNO,38.74,7378401289,
471,VRSK,194.4,31172428058,
472,VRSN,211.4,23115293708,
473,VRTX,215.12,56718694127,
474,VTR,51.94,19686896871,
475,VZ,55.5,234517992487,
476,WAB,82.3,15961991304,
477,WAT,295.92,18287423506,
478,WBA,52.49,43673939157,
479,WDC,67.75,20155827890,
480,WEC,86.33,27463940627,
481,WELL,69.53,28831412023,
482,WFC,33.57,143723208043,
483,WHR,201.69,12703453604,
484,WLTW,233.97,30519781034,
485,WM,115.2,49680694480,
486,WMB,23.53,28332652638,
487,WMT,149.75,427668306038,
488,WRB,67.96,12452384251,
489,WRK,45.3,11911757263,
490,WST,303.73,21811340098,
491,WU,25.16,10222441611,
492,WY,35.28,26390827353,
493,WYNN,122.83,12840841589,
494,XEL,63.64,33329977691,
495,XLNX,152.08,37138022871,
496,XOM,52.25,224020093184,
497,XRAY,57.93,12117278800,
498,XRX,24.54,4745301197,
499,XYL,102.81,18017227608,
500,YUM,106.5,33136599502,
501,ZBH,163.01,33576226764,
502,ZBRA,498.37,26187435719,
503,ZION,49.62,8334881644,
504,ZTS,172.1,80182341543,
